Nom;Secteurs d'activité;Adresse du siège social;CP;Localité;Email
Article 27 charleroi;Culture;Boulevard Jacques Bertrand 3;6000;Charleroi;charleroi@article27.be
Assemblée de dieu de fleurus;Culte;Rue Joseph Lefebvre 11;6220;Fleurus;jean.lecire@belgacom.net
Association  maurice guillaume;Culture;Rue Taïenne 3;6250;Presles;jose.macq@voo.be
Association amazighe culturelle protectrice des investisseurs belgo-marocains;Immigration/Intégration;Rue Montal 3;6000;Charleroi;aacpibm2010@hotmail.be
Association cultural andaluza de charleroi;Culture / Tourisme;Rue de la Tourelle 6;6060;Gilly;marc.durant@centrepme.be
Association de la communauté des travailleurs italiens;Immigration/Intégration;Rue des Déportés 1;6031;Monceau-sur-Sambre;acti@commu.be
Association des clubs sportifs rovien;Sport;Quai de Sambre 30/1;6030;Marchienne-au-Pont;colittatony@hotmail.com
Association des pensionnés conducteurs de la s.n.c.b.;Affaires sociales;Allée des Fauvettes 6;6120;Cour-Sur-Heure;rousseauroger20@gmail.com
Association killiphile francophone de belgique;Nature;Rue des Haies 77;6001;Marcinelle;vdsakfb.epiplatysroloffia@belgacom.be
Association musicale concerto;Culture;Rue Ali Autome 73;6030;Marchienne-au-Pont;info@ammconcerto.org
Association sociale et culturelle belgo-turque;Immigration / Intégration;Rue Fesler 71;6030;Marchienne-au-Pont;yalcin_solak@hotmail.be
Atelier de création graphique et artistique;Culture;Rue Verdaille 38;6142;Leernes;acgart@commu.be
Aux trois coups;Culture;Chaussée de Montigny 126;6060;Gilly;auxtroiscoups@gmail.com
Back in the dayz;Culture;Rue du Viaduc 55;6060;Gilly;anthony@backinthedayz.be
Banque alimentaire du pays de charleroi et du centre;Affaires sociales;Rue Petite Chenevrière 72;6001;Marcinelle;b.a.c.c@voo.be
Belafrika;Immigration / Intégration;Chaussée de Gilly 124;6220;Fleurus;belafrika@yahoo.fr
Belgian fudokan karatedo renmei;Sport / Loisirs;rue Bennert 8;6040;Jumet;michel-henri@skynet.be
Belgian senior consultants wallonie;Affaires sociales;Rue du Parc 3/7;6000;Charleroi;ruttensfrancois@skynet.be
Cabaret 2000;Culture;Rue de la Concorde 21;6061;Montignies-sur-Sambre;info@cabaret2000.org
Capreolus;Nature;Rue du Faubourg 100;6110;Montigny-le-Tilleul;capreolus@skynet.be
Carolo beach art company;Economie circulaire;Rue Saint Charles 86-88;6061;Montignies/s/Sambre;francoisehubert@skynet.be
Centre d' accueil fédéral (fedasil);Immigration /Intégration;2e Rue ( zoning insdustriel ) 24;6040;Jumet;veronique.hastir@fedasil.be
Centre d' assistance culturelle aux etudiants africains à charleroi;Immigration / Intégration;Rue Léon Bernus 7;6000;Charleroi;caceac2002@gmail.com
Régionale de Charleroi du Centre d'action laïque;Affaires sociales;Rue de France 31;6000;Charleroi;info@cal-charleroi.be
Centre de consultations conjugales et de planning familial;Santé / Famille;Boulevard Joseph II 14;6000;Charleroi;planingcharleroi@yahoo.fr
Centre de jeunes de marcinelle - Charleroi District Jeunes;Jeunesse;Avenue Eugène Mascaux 879;6001;Marcinelle;asblcjm@yahoo.com
Centre de la broderie du hainaut;Loisirs;Place Albert Ier 12;6183;Trazegnies;infocentredelabroderie@skynet.be
Taboo centre de jeunes;Jeunesse;Rue Basslé 8;6000;Charleroi;taboo@brutele.be
Centre orthogénique;Santé;Rue du Mayeuri 30;6032;Mont-sur-Marchienne;centreorthogenique@swing.be
Centre scolaire saint-joseph notre-dame;Enseignement;Rue Strimelle 1;6040;Jumet;sarahlegget.sjndj@gmail.com
Confrérie de la Cervoise;Confrérie;Avenue Mascaux 149;6001;Marcinelle;mladuron@hotmail.com
Charleroi astronomie;Loisirs;Avenue Reine Elizabeth 14;6280;Villers-Poterie;charleroiastronomie@gmail.com
Charleroi centreville;Affaires sociales;Boulevard Tirou 16;6000;Charleroi;info@charleroicentreville.com
Charleroi nature;Nature;Rue de Villers 227 A;6010;Couillet;th.bodart@scarlet.be
Chiari people;Santé;Rue des Bruyères 10;6040;Jumet;olovier662@hotmail.com
Citadelle des femmes sans limites;Immigration / Intégration;Rue de Marcinelle 45 boîte1/3;600;Charleroi;nzolanana@yahoo.fr
Cité de l'enfance;Enfance / Jeunesse;Rue de Gozée 706;6110;Montigny-le-Tilleul;bernard.dewiest@chu-charleroi.be
Collectif citoyen carolo;Affaires sociales;Rue de Marchienne 36;6044;Roux;jacques.coupez@skynet.be
Collège national des ceintures noires francophones de Belgique;Sport;Rue de Forchies 113;6182;Souvret;agab5w3@hotmail.com
Comité d' initiative de monceau-sur-sambre;Affaires sociales;Rue A.Desy 54;6031;Monceau-sur-Sambre;bernadette.martin@charleroi.be
Comité de défense du parc reine astrid;Nature / Environnement;Rue du Parc 5 bte 084;6000;Charleroi;jeabaert@voo.be
Comité des fêtes de wallonie et des géants de charleroi;Culture / Tourisme;Rue Devillez  35;6060;Gilly;cornetjeremy@hotmail.com
Comité royal des fêtes de la cité jardin;Affaires sociales;Rue de Beaumont 259;6030;Marchienne-au-Pont;patricia.laure@chu-charleroi.be
Comites;Fédérations;Boulevard Janson 51;6000;Charleroi;info@comites-charleroi.be
Communauté jésuite du sacré coeur;Enseignement;Rue de Montigny 50;6000;Charleroi;pmourlon@jesuites.be
Conseil d'arrondissement de l'aide à la jeunesse;Jeunesse;Rue Rivelaine 7;6061;Montignies-sur-sambre;alberto.mulas@chu-charleroi.be
Convention  parkinson;Santé;Rue de Gozée 706;6110;Montigny-le-Tilleul;thierry.piette@chu-charleroi.be
Coucou les immondices;Environnement;Rue Joeph Lefèvre 47;6030;Marchienne-au-Pont;marie.vanhaverbeke@cesa.be
Couleur livres;Culture;Rue Lebeau 4;6000;Charleroi;pierrebertrand@couleurlivres.be
Dérisoir'prod;Culture;Rue du Fort 70;6000;Charleroi;theatre@lepoche.be
Dialogue;Enseignement;Rue de Jumet 175;6030;Marchienne-au-Pont;info@asbldialogue.be
Diapason-transition;Santé;Chaussée de Fleurus 216;6060;Gilly;direction@asbl-transition.be
Doyenné de marchienne-au-pont;Culte;Place Albert 1er 31;6030;Marchienne-au-Pont;j.thomas.tm@skynet.be
Ecole des parents et des educateurs;Education;Rue de Stalle 96;1180;Bruxelles;coordination@ecoledesparents.be
Ecole libre notre-dame de Jumet chef-lieu;Enseignement;Rue Frison 4;6040;Jumet;agnesolivier@yahoo.fr
Ecoline et caracole;Enfance;Rue Champêtre 4;6181;Gouy-lez-Piéton;ecoline-caracole.asbl@hotmail.com
Edelweiss;Enfance / Jeunesse;Allée des bungalows fleuris 17;6120;Nalinnes;chrysline@brutele.be
En souvenir de tatiana;Enfance / santé;Rue de Landelies 37/4;6110;Montignies-le-Tilleul;tatiana-revesdenfantsmalaes@live.be
Ensemble vocal et instrumental polyphonia castileti;Culture;Rue de Namur 3;7130;Binche;francoise.lecrenier@live.be
Equilibrium asbl;Bien-être des animaux;Rue de Luttre 76;6181;Gouy-lez-Piéton;emmanuellevdaa@gmail.com
Equipe de soutien en soins palliatifs charleroi sud-hainaut;Santé;Boulevard Zoé Drion 1;6000;Charleroi;aremis.charleroi@freeworld.be
Espace deuil sol..ange;Santé;rue des déportés 140;6042;Lodelinsart;frigione@hotmail.com
Espace environnement;Nature / Environnement;Rue de Montigny 29;6000;Charleroi;svogels@espace-environnement.be
Espoir mères et enfants;Enfance / Affaires sociales;Rue Creusiaux 28;6041;Gosselies;arch-fat@hotmail.com
Everystyle events;Culture;Boulevard Joseph II 62/ bt 2;6000;Charleroi;giuliano.dantonio@gmail.com
Fédération cynologique internationale;Bien-être des animaux;Place Albert 1er;6530;Thuin;lunaduran.m@fci.be
Fédération francophone du yachting belge;Sport;Avenue du Parc d'Amée 90;5100;Jambes;info@ffyb.be
Fédération wallonne des institutions pour toxicomanes;Santé;Rue fusch 3;4000;Liège;feditowallonne@skynet.be
Fémina docherie;Sport;Rue du Cimetière 38;6042;Lodelinsart;feminadocherie@brutele.be
Fête de la saint-jean à gosselies;Culture;Rue Saint-Roch, 48;6041;Gosselies;jacques.mabille@gmail.com
Coordination des régies de quartier;Affaires Sociales;Rue de Brabant 1;6000;Charleroi;Regies.Quartier@flw.be
Fonds du logement wallon;Affaires Sociales |Famille;Rue de Brabant 1;6000;Charleroi;contact@flw.be
Forum belge pour la prévention et la sécurité urbaine;Affaires Sociales;Chaussée de Nivelles 177;6041;Gosselies;jacques.pyfferoen@charleroi.be
Foyer culturel moncell'art;Culture;Rue Zénobe Gramme 22/031;6000;Charleroi;moncellart@contactoffice.be
Fraternelle royale 4ème brigade d'infanterie steenstraete;Culture;Rue de Lodelinsart, 69/12;6000;Charleroi;wjp6032@hotmail.com
Glodie;Affaires sociales;Rue du Chenois 108;6042;Lodelinsart;asblglodie@hotmail.fr
Groupe des diabétiques de charleroi;Santé;Ruelle Pelisse 28;6060;Gilly;jeaninegodeau@hotmail.com
Groupe partenariat logement;Affaires Sociales;Rue de Monceau-Fontaine 42/11;6031;Monceau-sur-Sambre;georges.pierard@relogeas.be
H2o hélios;Sport / Loisirs;rue de Montigny 103;6000;Charleroi;nathandubray@gmail.com
Association francophone pour la promotion de l'emploi et des aides techniques du handicape visuel;Handicap;Chaussée de Charleroi 1A;6061;Montignies-sur-Sambre;info@hvfe.be
Indigen;Culture;Boulevard Audent 12;6000;Charleroi;
Infor culture voyages;Affaires sociales;Rue Wattelar, 86;6040;Jumet;inforfamille.nicolas@scarlet.be
Infotechnoweb;Culture;Rue Henri Belyn 73;6041;Gosselies;frederic@marchiennes.org
Intermire;Emploi / formation;Avenue Jean Mermoz 30/3;6041;Gosselies;sylvielambinon@gmail.com
Jeunesses musicales  charleroi métropole;Culture;Rue Léopold 46;6041;Gosselies;jmch@jeunessesmusicales.be
Judo club moncellois (jcm monceau);sport;Rue Emile Vandervelde 106;6031;Monceau-sur-Sambre;manueladisilvio@hotmail.com
Judo-club des hamendes-kamakura;sport;Rue Pierre-Joseph Dewerpe 27/2;6040;Jumet;judophil@hotmail.com
Kayak club charleroi-nivelles;Sport / Loisirs;Chemin de l'Ardenelle, 2;1400;Nivelles;mnpirnay@scarlet.be
Kid paddle;Culture / Tourisme;Rue de Marchienne 34;6020;Dampremy;dj_jupil@live.fr
La girolle;Culture;Rue des Argentines 2;6110;Montigny-le-Tilleul;moniqualex@skynet.be
La maison de santé espace avicenne;Santé;Rue de Châtelet 44;6030;Marchienne-au-Pont;espace-avicenne14@hotmail.com
La maison ouverte;Enfance / famille;Rue Jules Jaumet 159;6030;Marchienne-au-Pont;maisonouverte@skynet.be
La mission st damien;Culte;Rue Frère Orban 29;6020;Dampremy;joly.rudy@hotmail.com
La pastourelle;Culture;Rue du Château 3;6032;Mont-sur-Marchienne;la.pastourelle@swing.be
La villanelle;Culture;Route de Fosses 63;6250;Presles;info@villanelle.be
L'ambassade du chien;Bien-être des animaux;Rue Auguste Delvaux  78;6040;Jumet;ac@wty.be
Le  germoir;Emploi / formation;rue Monceau-Fontaine 42/3;6031;Monceau sur Sambre;germoir@skynet.be *
Le 26;Affaires sociales;Rue de Montigny 26;6000;Charleroi;luc.mertens@le26.social
Le bonheur dans le pré;Santé / Nature;Rue Royale 21;6141;Forchies-La-Marche;info@lebonheurdanslepre.be
Le chemin d'un village;Nature / environnement;Rue Warinaue 32;6120;Nalinnes;asbl.lechemindunvillage@skynet.be
Le comptoir;Santé;Avenue Général Michel 5;6000;Charleroi;asbllecomptoir@hotmail.com
Le dauchant;Bien-être des animaux;Rue Omer Lison 178;6220;Lambusart;dauchant@hotmail.be
Le figuier;Affaires sociales;Rue Aurélien Thibaut 12;6001;Marcinelle;lefiguier.asbl@netcourrier.com
Le trait d'union de jumet;Affaires Sociales;rue des déportés 60;6040;Jumet;capitte.mylene@gmail.com
Societe royale des amis de la madeleine;Culture;Rue de Colnet 10;6040;Jumet;pierre.arcq@skynet.be
Les amis du château de monceau;gestion / Tourisme;Place Albert Ier 34;6031;Monceau-sur-Sambre;chateaudemonceau@voo.be
Les castors CJJM;Jeunesse;Rue du Faubourg 16;6250;Aiseau;info@castor.be
Les compagnons du petit elevage de charleroi;Bien-être des animaux;Rue de la Révolution 68;6040;Jumet;cohamla@gmail.com
Les motivés du 8 octobre;Culture;Rue de l'Ange 16/61;6001;Marcinelle;louis.delville@brutele.be
Ligue régionale des vétérans du roi léopold iii (vét.l iii);Culture;Rue Docteur Moret  40;6020;Dampremy;fa294899@skynet.be
Lilys editions;Culture;Rue du Foyer 70;6001;Marcinelle;
Maison de la laïcité de charleroi;Culture;Rue de France 31;6000;Charleroi;mlcharleroi@laicite.be
Maison de l'ecologie de la vallée de la sambre;Nature / Environnement;Rue Lebeau 5;6000;Charleroi;ecolo.charleroi@ecolo.be
Maison des jeunes case départ;Jeunesse;Rue Chaussée 65;6141;Forchies-La-Marche;info@mjcasedepart.be
Maison des jeunes d'anderlues;Jeunesse;Cité Jardin du Fief 61;6150;Anderlues;phil59g@gmail.com
Maison médicale la montagnarde;Santé;Chaussée de Charleroi 118;6061;Montignies-sur-Sambre;infolamontagnarde@gmail.com
Maison plurielle;Justice et droit;Rue Tumelaire 77;6000;Charleroi;l.goderniaux@hotmail.com - mplurielle@voo.be
Maison pour associations (mpa);gestion et finances;Route de Mons 80;6030;Marchienne-au-Pont;info@mpa80.be
Charly Dance club (ex Moncha dance club);Loisirs;route de mons 543;6031;Monceau-sur-sambre;marcel.darge@belgacom.be
Mosquée at-touba;Culte;Chaussée de Ransart 126;6060;Gilly;mosquee.attouba.gilly@gmail.com
New club sécurité hainaut;Sport / Loisirs;Allée du Bois Briclet 29;6031;Monceau-sur-Sambre;luc821@hotmail.com
œuvre nationale des aveugles;Handicap;Bd Mayence 25;6000;Charleroi;maryvonne.wery@ona.be
Olympique club de hockey sur glace;Sport / Loisirs;Rue ali autome  80;6030;Marchienne-au-Pont;cedric.doumont@gmail.com
Patchwork des arts;Culture;Chaussée de Charleroi 103/001;6061;Montignies-sur-Sambre;patchworkdesarts@hotmail.com
Patinage loisirs carolorégien (p.l.c.);Sport / Loisirs;Rue Neuve 75 A Bte 73;6061;Montignies-sur-Sambre;jcd@patinoire.be
Patro st jean;Jeunesse;Rue Favettes 2;6030;Marchienne-au-Pont;patrostjean@commu.be -renevhm145@hotmail.com
Photo club marcinellois (pcm);Loisirs;Rue Horace Pierard 23;6060;Gilly;dcalifice@voo.be
Pleyon;Loisirs;Rue Jean Jaures 106;6061;Montignies-sur-Sambre;jaumaux@hotmail.com
Poh-lah;Immigration /Intégration;Rue Léon Bernus 7;600;Charleroi;jeanboscotchouna@yahoo.fr
Project-x;Sport / Loisirs;Rue des Hamendes, 101;6042;Lodelinsart;projectx@asbl-projectx.be
Promusport;Sport / Loisirs;Rue du Douaire 40;6150;Anderlues;promusport.anderlues@mc.be
Racing team charleroi;Sport / Loisirs;Rue de Lodelinsart 154, bte 1;6000;Charleroi;belagency@hotmail.com
Régie des quartiers de charleroi;Affaires sociales;Rue Warmonceau 300/305;6000;Charleroi;rdqchl.direction@gmail.com
Région pastorale de charleroi;Culte;Rue de la Providence 10;6030;Marchienne-au-Pont;sœurs.sterita@skynet.be
Rescapés tutsis habitant à charleroi;Justice et droit;Rue Camille Caréna 3 boîte5;6000;Charleroi;tatienmiheto@yahoo.fr
Royal gosselies sports;Sport;Rue de la haie aux mures 2;6041;Gosselies;secretariat.rgs@gmail.com
Rugby black star charleroi;Sport;Place du Prieuré 22;6040;Jumet;pire.cecile@gmail.com
Semaine musicale;Culture;Rue de Fosses 63;6250;Presles;sem.music@skynet.be
Service de coordination des soins à domicile de la ville de charleroi;Santé;Boulevard Zoé Drion 1 (2ème étage);6000;Charleroi;empage@librage.be
Shoshinkan;Sport;Rue Paul Pastur 36 bte 042;6061;Montignies-sur-Sambre;shoshinkan.abkf@gmail.com
Société royale protectrice des animaux de charleroi;Bien-être des animaux;Rue Emile Vandervelde 115;6032;Mont-sur-Marchienne;info@spa-charleroi.be
Espace deuil;Santé;rue des déportés 140;6042;Lodelinsart;fortuna.rigione@scarlet.be
Olympic Mont-sur-marchienne basket-club;Sport;Rue des closières 40;6001;Marcinelle;denis.gauvain@sudpresse.be
Théâtre de la guimbarde;Culture;Rue des Gardes 13/02;6000;Charleroi;contact@laguimbarde.be
Trinacria;Culture / Tourisme;Rue de Trazegnies 174;6031;Monceau-sur-Sambre;angelo_lavore@skynet.be
Un geste, un sourire;Enfance;Rue du Nord, 7A;6060;Gilly;ungeste.unsourire@hotmail.com
Un petit rayon de soleil;Affaires sociales;Rue frère Orban 37;6040;Jumet;stephaniesourice@hotmail.com
Union des commercants et artisans de gilly;gestion et finances;Chaussée de Lodelinsart 55;6060;Gilly;
Union des eglises evangéliques de réveil;Culte;Rue de Mons 106;6031;Monceau-sur-Sambre;awake.ministries7@gmail.com
Vespa club  charleroi;Loisirs;Rue Appaumée 183;6043;Ransart;vespaclubcharleroi@hotmail.com
Vita italiana ali'estero;immigration / Intégration;Rue de l'Ethiopie  72;6010;Couillet;franco.gizzi@skynet.be
Wallonie en harmonie;Culture / Tourisme;Rue des Fougères, 136;6010;Couillet;christian.delcoux@skynet.be
Willy club natation montignies-sur-sambre;Sport;Rue d'Hirson 21;6001;Marcinelle;veroetcie@brutele.be
Yes i do;Formation;Rue André Lafaille  4;6031;Monceau-sur-Sambre;info@agenceyes.be
Le 112 ème régiment belge d'empire;Culture;Faubourg de Bruxelles 103;6041;Gosselies;francis-aquet@hotmail.com
Aapeeca Anciens Parents d'Elèves de l'Ecole et du Collège de l'Alliance;Affaires sociales;Rue de Goutroux 188;6031;Monceau-sur-Sambre;oevrard1@gmail.com
Académie de musique et de danse de la botte du hainaut;Culture;Grand-Rue 51A;6470;Sivry-Rance;academiebh@ecoles.cfwb.be
Aid soleilmont;Travail/Emploi;Rue de Monceau-Fontaine 42/8;6031;Monceau-sur-Sambre;info@aid-soleilmont.be
Altéo centre, charleroi et thudinie;Handicap;Rue du Douaire 40;6150;Anderlues;caroline.elias@mc.be
Amicale des mineurs des charbonnages de wallonie;Affaires sociales;Rue du Cazier 80;6001;Marcinelle;aliboni.sergio@belgacom.net
Amitié belgo-congolaise pour le développement (abcd);Immigration et intégration;Rue St Eloi 5/011;6041;Gosselies;bondongus@hotmail.com
Artemusica;Culture;Rue des Claires Fontaines 3;6044;Roux;gabriel.ajg.martin@skynet.be
Association carolorégienne pour la gestion d'habitations protégées;Affaires sociales;Rue Des Goutteaux 17;6032;Mont-sur-Marchienne;acghp@skynet.be
Association de quartier de la rue goor;Affaires sociales;Rue Spinoy 52;6000;Charleroi;francis.preyat@voo.be
Association de véhicules anciens de charleroi;Loisirs;Rue Farcy 5;6534;Gozée;roch4444@gmail.com
Association des riverains et habitants des communes proches de l'aéroport, B.S.C.A. (Brussels South Charleroi Airport);Justice et droit;Rue Jean Jaurés 29;6044;Roux;aracharleroi@mailexcite.com
Association wallonne des comités consultatifs de locataires et propriétaires;Affaires sociales;Rue des Brasseurs 103/3;5000;Namur;info@awcclp.be
Au Cœur des Haies;Affaires sociales;Rue du Long Try 62;6032;Mont-sur-Marchienne;makastreet@voo.be
Avanti;Travail / Emploi;Rue de l'Abattoir 12;6030;Marchienne-au-Pont;avanti.mf@skynet.be
Basket club maccabi charleroi;Sport;Rue Couturelles 2A;6044;Roux;g.perini@avocat.be
Badminton Club loverval;Sport;Rue des Piges 92;6031;Monceau-Sur-Sambre;benoitpirson@brutele.be
Belgomas (BELGIQUE/MAROC/SPORT);Sport;Rue du Mambourg 50/1;6000;Charleroi;bachiramajid@hotmail.com
Big brol;Culture;Rue de la Station 58/2;6140;Fontaine;guidf7@gmail.com
Blanche borne tout terrain club;Sport / Loisirs;Rue Général de Gaulle 238;6180;Courcelles;secretaire@bbtc.be
Bomerée motor club;Sport / Loisirs;Rue de la Station 68;6110;Montigny-le-Tilleul;bmpower@skynet.be
Bps22 musée d'art de la province de hainaut;Culture;Boulevard Solvay 22;6000;Charleroi;info@bps22.be
Centre culturel de thuin-haute sambre;Culture;Rue des Nobles  32;6530;Thuin;centreculturelthuin@hotmail.com
Centre d'activités sous-marines du hainaut;Sport / Loisirs;Rue Omer Bernard 14;6030;Marchienne-au-Pont;jeanclaude.guyot@brutele.be
Centre d'animation et d'information jeunesse;Jeunesse;Chaussée de Lodelinsart 64;6060;Gilly;information@enerj.be
Centre de  culture belgo-libanais;Immigration / Intégration;Rue des Haies 21;6001;Marcinelle;nabichit@hotmail.com
Centre de culture scientifique de l'ulb;Education / Formation;Rue de villers 227;6010;Couillet;
Centre de documentation et de recherche sociales du Hainaut;Education / Formation;Maison du Hainaut Quai de Brabant 20;6000;Charleroi;coordination.violence@hainaut.be
Centre d'expertise et de ressources pour l'enfance;Enfance / Jeunesse;Rue de la Poste 105;1030;Bruxelles;apuchalska@cere-asbl.be
Centre européen pour la sécurité;Santé;Rue de la Providence 114;6030;Marchienne-au-Pont;isabelle.borli@ceps-esm.be
Centre local de promotion de la santé charleroi/thuin;Santé;Avenue Général Michel 1b;6000;Charleroi;secretariat@clpsct.org
Centre récréatif aéré de monceau (cra monceau);Enfance / Jeunesse;Avenue Houtart 34;6031;Monceau-sur-Sambre;
Centre scolaire des etoiles;Enseignement;Rue des Chantiers 65;6030;Marchienne-au-Pont;info.charleroi@ecoledesetoiles.be
Cercle royal dramatique les nerviens;Culture;Rue des Nerviens 13;6250;Aiseau-Presles;nerviens@hotmail.com
Chant'appart chez les belges;Culture;Rue des Bruyères 138;6120;Jamioulx;vivipyrechansons@fulladsl.be
Charleroi coronary club (c.c.c.);Sport / Santé;Avenue du Centenaire  73;6061;Montignies-sur-Sambre;vincent.swartenbroekx@chndrf.be
Charleroi espace meeting européen (ceme);Affaires sociales;Rue des Français 147;6020;Dampremy;info@ceme.be
Charleroi/solidarité broucheterre;Affaires sociales;Rue de la Broucheterre 122;6000;Charleroi;abouffioux@met.wallonie.be
Chat noir;Culture;Rue de Quartier 71;6030;Marchienne-au-Pont;mpa-nermin
Chemins antiques sentiers d'aujourd'hui;Tourisme;Rue de Morelmont 8;6181;Gouy-lez-Pièton;carolinebuda@hotmail.com
"Club ""question pour un champion""";Loisirs;Avenue Circulaire 66;6200;Châtelet;michel.picard@belgacom.net
Club de tennis de table phoenix couillet;Sport / Loisirs;Rue du Try du Scouf 37;6032;Mont-sur-Marchienne;h149@skynet.be
Club signaleur dauphin;Loisirs;Rue Volta 45;6001;Marcinelle;valebail@voo.be
Club socio-culturel iragi;Immigration / Intégration;RUe Mouche 30;6010;Couillet;iragiclub2002@hotmail.com
Collectif carolo des africains pour la diversité;Immigration /Intégration;Rue Léon Bernus 7;6000;Charleroi;infoscocad@gmail.com
Comité de quartier de la docherie;Affaires sociales;Rue Royale 137;6030;Marchienne-au-Pont;weetsjp@hotmail.com
Comité des fêtes de la madeleine;Culture / Tourisme;Rue Wattelar 107;6040;Jumet;lejeune.adam@skynet.be
Comité scolaire des ecoles catholiques de Mont-sur-Marchienne;Enseignement;Rue Séraphin Antoine 17;6032;Mont-sur-Marchienne;ec000895@adm.cfwb.be
Conseil consultatif des ainés;Seniors;Maison communale annexe Place Kennedy 1 bureau 16;6030;Marchienne-au-Pont;veronique.gysels@charleroi.be
Contrat sécurité et de société;Affaires Sociales;Chaussée de Nivelles 177;6041;Gosselies;securite.prevention@charleroi.be
Contre-poing;Affaires sociales;Grand Rue 119;6000;Charleroi;asbl.contrepoing@belgacom.net
Cultura italiana;immigration / Intégration;Grand Rue 223;6000;Charleroi;cazzetta@skynet.be
D'cole;Affaires sociales;Rue de Bomerée 358;6110;Montigny-le-Tilleul;asbldcole@gmail.com
Plate-forme carolo pour la promotion et le développement du spectacle de divertissement;Culture;Rue Marius Meurée 1;6001;Marcinelle;vandenborgheantoine@gmail.com
Djembe mitoussa;Culture / Loisirs;Rue du Pont Neuf 3;6000;Charleroi;info@djembemitoussa.org
École fondamentale libre Saint-Joseph Jumet houbois Heigne;Enseignement;Place Matteoti 3;6040;Jumet;esjjhou@skynet.be
Echoline;Handicap / Famille;Avenue du centenaire 65;6061;Montignies-sur-Sambre;info@echoline.be
Ecole st fiacre;Enseignement;Rue Saint Fiacre 46;6031;Monceau-sur-Sambre;verodemoulin@skynet.be
centre d'education à la santé;Santé;Avenue Général Michel 1b;6000;Charleroi;secretariat@educasante.org
Eglise arche de dieu;Culte;Route de Philippeville, 124;6010;COuillet;esaiemifa@yahoo.fr
Eglise protestante unie de belgique (epub marchienne);Culte;Rue de Beaumont 206;6030;Marchienne-au-Pont;m.lecomte@skynet.be
Enfants de lumière;Enfance / jeunesse;Rue d'Endessous  63;6211;Mellet;kikoumikiels@gmail.com
Entente canine jamioulx;Bien-être des animaux;Chemin de la Belle Epine 62;6120;Ham-sur-Heure;benoit.guiot871@gmail.com
Entraide et amitié universelle (e.a.u);Affaires sociales;Rue des Grogères 23;6001;Marcinelle;dora1be@yahoo.fr
Entraide et fraternité - Vivre ensemble - Justice et paix Hainaut;Affaires sociales;Rue Joseph Lefèvre 59;6030;Marchienne-au-Pont;charleroi@entraide.be
Equipo nizkor;Justice et droit;Rue de la Science 24;6000;Charleroi;nizkor@derechos.org
Plastik asbl (ancien encodage : Evolving);Culture;Rue Chausteur 74;6042;Lodelinsart;info@plastikasbl.be
Ex-minatori  marcinelle;Culture;Rue Caisse 11;6032;Mont-sur-Marchienne;paolinielio@skynet.be
Formation action pour le développement durable-solidarité;immigration / Intégration;Rue Camille-Carena 5/002 et 7/003;6000;Charleroi;faddsolidarite1@gmail.com
