NOM;TVA;Forme Juridique;Nom du PAE;Adresse;CP;Localité;Téléphone;Fax;ACTIVITE;N° parcelle
LA MAISON DU NETTOYAGE;421880912;S.A.;P.A.E. de Charleroi-Airport 2;Rue de Gosselies 13;6040.0;JUMET;02/410 29 45;;Autres activités de nettoyage des bâtiments, nettoyage industriel;Atlas bureau
TPF UTILITIES;406406442;S.A.;P.A.E. de Charleroi-Airport 2;Rue de Gosselies 13;6040.0;JUMET;;02/370 18 80;Activités d'ingénierie et de conseils techniques;Atlas atelier/bureau
ANTI-CORROSION ET MAINTENANCE DE MATERIAUX (ACMM);462548755;S.P.R.L.;P.A.E. de Fleurus-Martinrou;Rue du Bassin 2;6220.0;FLEURUS;071/56 22 13;;Ingénierie - Bureau d'études;43
BIOSMOSE (ORTHOPEDIE TOUSSAINT);416731202;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Rabiseau 8;6220.0;FLEURUS;071/82 39 10;071/80 05 67;Fabrication de matériel orthopédique;15
CAMAX CONSULTING;881960820;S.P.R.L.;P.A.E. de Fleurus-Martinrou;Rue de Berlaimont 6/a;6220.0;FLEURUS;;;Location, installation et maintenance de climatisation et chauffage pour l'industrie;14
CAMILLIARD;434991847;S.C.R.L.;P.A.E. de Fleurus-Martinrou;Rue de la Jonction 7;6220.0;FLEURUS;071/72 97 93;;Couvreur (couverture toiture);18
CONSTRUCTION PIPING ET METALLIQUE COURCELLOIS (CPMC);898553263;S.P.R.L.;P.A.E. de Fleurus-Martinrou;Rue du Berlaimont 19;6220.0;FLEURUS;071/45 00 81;;Fabrication de structures métalliques et de parties de structures;11
DELPLEX;451873411;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Progrès 8;6220.0;FLEURUS;071/81 34 78;071/81 89 12;Transformation de matières plastiques;52
ECOTOP SAFS;463609025;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Rabiseau 6;6220.0;FLEURUS;071/37 27 97;071/37 35 14;Fabrication de cartouches pour imprimantes, fax et copieurs;14
I2 CONSULTING OFFICE;432711753;N.V.;P.A.E. de Fleurus-Martinrou;Rue du Berlaimont 6a;6220.0;FLEURUS;02/456 06 65;;Services spécialisés du son, de l'image et de l'éclairage;14
IMPACT INTERIM;464633166;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Progrès 1;6220.0;FLEURUS;071/20 10 10;071/81 55 05;Bureau d'intérim;
IRIS GROUP;448040624;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Progrès 2;6220.0;FLEURUS;02/204 03 00;02/201 11 66;Nettoyage et applicateur de peinture anticorrosion;3
LOCADEC;662858903;S.P.R.L.;P.A.E. de Fleurus-Martinrou;Rue des Sources 14/1;6220.0;FLEURUS;016/44 69 73;071/87 84 90;Stockage;63
PIMPURNIAUX FRERES;442091554;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Berlaimont 7;6220.0;FLEURUS;071/81 51 21;071/81 76 56;Négoce en produits chimiques du bâtiment;4
PLASTISART NEON;406363979;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Berlaimont 17;6220.0;FLEURUS;071/82 44 20;071/82 44 29;Fabrication d'enseignes lumineuses et thermoformage de matières plastiques pour l'industrie et la publicité;6
COFERME;420086907;S.C.R.L.;PAE de Baileux;Zone industrielle 21;6464.0;BAILEUX;060/21 47 30;060/21 32 43;Achat, transport et vente de lait cru;
MOBILIER CONCEPT;480443572;S.P.R.L.;PAE de Baileux;Route Charlemagne 10;6464.0;BAILEUX;060/21 22 25;060/21 37 22;Agencement du bois;
SALAISONS DU HAINAUT;402065295;S.P.R.L.;PAE de Baileux;Zoning industriel 22;6464.0;BAILEUX;060/21 02 20;060/21 02 21;Fabrication et commercialisation de charcuteries cuites;
SCAM;401370063;S.C.R.L.;PAE de Baileux;Route Charlemagne 9;6464.0;BAILEUX;060/21 27 58;060/21 55 40;Vente céréales, semences, produits de protection des plantes, engrais et aliments pour bétal;
VAN DYCK - LEVANT ET FILLES AVEVE;478967192;S.P.R.L.;PAE de Baileux;Zoning Industriel 4;6464.0;BAILEUX;060/21 27 97;060/21 27 36;Services annexes à la culture - magasin Aveve / Hobby ver;
JANSSEN SPRL;448531661;S.P.R.L.;P.A.E. de Frasnes-lez-Gosselies;Rue des Rotons, 18;1495.0;VILLERS-LA-VILLE;071/88 50 68;071/88 50 69;Travaux de bâtiment et distribution matériaux - Etanchéité;23
TEXERE BIOTECH;666661105;S.P.R.L.;P.A.E. de Frasnes-lez-Gosselies;Rue des Artisans 4A;6210.0;FRASNES-LEZ-GOSSELIES;;;Recherche-développement en biotechnologie;
VDRT (en construction);;;P.A.E. de Frasnes-lez-Gosselies;Parcelle 23A;6210.0;FRASNES-LEZ-GOSSELIES;071/88 00 00;;Cogénération et traitement biomasse;
VRANCKEN FREDDY;540343547;P.P.;P.A.E. de Frasnes-lez-Gosselies;Chemin du Saucy 11;6210.0;FRASNES-LEZ-GOSSELIES;;;Entretien et stockage de matériel forain;
ALTER-NATIVE;808771845;S.P.R.L.;PAE de Momignies;Zone Plantis des Aisements 1;6590.0;MOMIGNIES;060/51 39 16;;Fabrication d'alternateurs à basse vitesse, montage et adapt.d'install. Prod.d'énergie renouvelable;
ENTREPRISE DE TRAVAIL ADAPTE -  LA THIERACHE;421909715;A.S.B.L.;PAE de Momignies;ZonE Plantis des Aisements 1;6590.0;MOMIGNIES;060/51 20 59;060/51 29 52;Paletterie, scierie, tournage sur bois, conditionnement, traiteur, parcs et jardins;
PC PNEUS;661535644;P.P.;PAE de Momignies;Zone Plantis des Aiséments;6590.0;MOMIGNIES;060/51 41 51;060/51 41 52;Commerce de gros de pièces détachées et accessoires pour véhicules automobiles;
TRANSPORTS RAUX;418396236;S.P.R.L.;PAE de Momignies;Zone Plantis des Aisements 4;6590.0;MOMIGNIES;060/51 12 21;050/51 27 55;Transports routiers de marchandises;
AUTO PATRICE;;;PAE de Solre-sur-Sambre;Rue Bringuette 23;6560.0;SOLRE-SUR-SAMBRE;;;Import export/vente achat;
DEBRUYNE;415003909;S.A.;PAE de Solre-sur-Sambre;Pittemsestraat 26;8850.0;ARDOOIE;051/74 49 41;051/74 68 08;Teillage de lin;
SOCIETE ROYALE DE TIR DE CHARLEROI;418717326;A.S.B.L.;PAE de Solre-sur-Sambre;Espace européen 21;6560.0;SOLRE-SUR-SAMBRE;071/55 44 48;;Stand de tir;
TRANSPORTS PARADIS;635552049;P.P.;PAE de Solre-sur-Sambre;Rue Charles Gantois 16;7120.0;FAUROEUX;064/77 26 38;064/77 26 38;Transports de pigeons voyageurs;
BRASSERIE DE L'ABBAYE DE LOBBES;417759303;S.A.;PAE de Thuin-Lobbes;Rue des Nerviens, 3;6540.0;LOBBES;071/59 00 45;071/59 17 57;Drink center;
EB Trading *;;S.P.R.L.;PAE de Thuin-Lobbes;Chemin du Gros Caillou, 53;6120.0;HAM-SUR-HEURE/NALINNES;071/32 28 38;;;
INTERIEUR ET CHALEUR;430336540;S.P.R.L.;PAE de Thuin-Lobbes;Avenue Deli XL 2;6530.0;THUIN;071/33 12 98;071/33 37 36;Chauffage par énergie renouvelable;
QS INDUSTRIE;448603620;S.P.R.L.;PAE de Thuin-Lobbes;Rue des Nerviens 1;6530.0;THUIN;071/59 44 00;;Négoce en machines;
ASSABBAN;454058384;S.A.;P.A.E. du Roton;Rue du Roton 32;6240.0;FARCIENNES;071/39 82 75;071/39 19 27;Intermédiaire de la confection, transformation accessoires;5
TONY AZZIA;462440372;S.A.;P.A.E. du Roton;Rue du Roton 54;6240.0;FARCIENNES;071/39 46 94;071/39 18 83;Entreprise générale de la construction;8
CONFORBETON;458772485;S.A.;P.A.E. de Montignies-sur-Sambre;Rue des Pays-Bas 48;6061.0;MONTIGNIES-SUR-SAMBRE;071/20 22 02;071/20 22 00;Fabrication blocs de béton et argez;19
MOMIPLAST SERVICES;427537891;S.A.;PAE de Chimay;Chaussée de Trélon 1;6460.0;CHIMAY;060/21 02 00;060/21 44 65;Autres commerces de gros articles de consommation;
A.R.S. Atelier de rechargement et de soudure;872809562;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Avenue de Lambusart 1;6220.0;FLEURUS;071/77 78 50;071/77 03 50;Traitement thermique sablage soudure usinage;
ALUMATIC;444787065;S.A.;P.A.E. de Fleurus-Farciennes;Rue du Vieux Campinaire 42;6220.0;FLEURUS;071/81 08 81;071/81 35 97;Menuiserie aluminium - Portes automatiques;10
ASPHALT EQUIPMENT;414798823;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de l'Espérance;6220.0;FLEURUS;071/81 00 49;071/81 03 86;Commerce de gros de matériaux pour toiture;47
B.A.T. (British American Tabacco);;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de Spirou 70;6220.0;FLEURUS;071/81 83 26;;Grossiste en tabac;
BIA SERVICE;897107171;S.A.;P.A.E. de Fleurus-Farciennes;Avenue du Spirou, 3;6220.0;FLEURUS;02/689 28 24;02/689 28 29;Atelier de réparation - rénovation;82
E.I.S. (Electronic Imaging Services);459445943;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Avenue du Marquis 34;6220.0;FLEURUS;0489/20 98 35;;Archivage professionnel, archivage numérique;40
GO CARS;657907448;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Avenue de Spirou 70;6220.0;FLEURUS;;;Commerce de détails d'automobiles;
GREDAY'S;871904888;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Avenue de Spirou 11;6220.0;FLEURUS;071/39 14 24;071/39 04 23;Transports;48
HYDROGAZ;404257990;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de Spirou 3;6220.0;FLEURUS;04/247 60 60;04/247 60 69;Travaux publics - Pose de canalisation - Centre de traitement autorisé;81
LA SIGNALISATION;426611641;S.C.R.L.;P.A.E. de Fleurus-Farciennes;Avenue de l'Espérance 50 bte 1;6220.0;FLEURUS;071/30 72 27 - 071/30 72 37;071/30 72 37;Signalisation routière et industrielle - Signalisation sécurité - Signalisation chantier;53
LENS MOTOR - RENAULT TRUCKS;449747527;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Rue de Martinrou 16;6220.0;FLEURUS;071/81 56 75;071/80 05 68;Agent Renault Trucks - ventre, entretien et réparation de véhicules industriels et utilitaires;42
LOXAM - RENTAL;441386424;S.A.;P.A.E. de Fleurus-Farciennes;Chaussée de Fleurus 2;6240.0;FARCIENNES;071/36 60 32;071/43 28 63;Location de matériel;34
NTP Radioisotopes (Europe);502376757;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de l'Espérance 1;6220.0;FLEURUS;071/82 35 70;071/82 36 67;Produits pharmaceutiques, industrie;
POLYWORKS CONCEPT;834977384;S.A.;P.A.E. de Fleurus-Farciennes;Rue de Martinroux 22;6220.0;FLEURUS;071/81 88 28;071/88 87 34;Etude, création et production de toute pièce en matériaux composites;45
ROMAIN FERRONNERIE;832618306;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Rue de Martinrou 24A;6220.0;FLEURUS;071/87 83 94;;Ferronnerie;76
SAFETYGLASS;465310285;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de Spirou 84;6220.0;FLEURUS;071/82 23 23;071/82 23 20;Transformation de verre plat + trempé;61
SALM INVEST;457293137;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de Lambusart 11;6220.0;FLEURUS;071/82 27 31;071/81 03 76;Transformation et conservation de poissons;52
SELFMATIC;431780454;S.A.;P.A.E. de Fleurus-Farciennes;Rue de Fontenelle 1;6240.0;FARCIENNES;071/82 31 00;;Chauffage - Sanitaire;21
SEPARTECH;;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Avenue de l'Espérance 41/1;6220.0;FLEURUS;071/78 16 84;;Construction métallique;16
SOUDECOUPE;418923402;S.P.R.L.;P.A.E. de Fleurus-Farciennes;Avenue de Fontenelle 10;6220.0;FLEURUS;071/81 53 14;071/81 64 76;Matériel pour souder et découper l'acier - Gaz industriel;8
SPLIFAR DIVISION FERROVIAIRE;;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de Spirou 32;6220.0;FLEURUS;071/85 81 72;;Verres automobiles;38
WALLCAST-CORSAIR;;S.A.;P.A.E. de Fleurus-Farciennes;Avenue de Lambusart 25;6220.0;FLEURUS;071/87 84 20;;Fabrication d'acier, fonderie;44
CONWAY;412070549;;P.A.E. de Charleroi-Jumet;Deuxième rue;6040.0;JUMET;071/34 75 11;071/34 75 90;Commerce de gros de tabac, confiseries et piles;34
COPER;;;P.A.E. de Charleroi-Jumet;Première Rue, 16;6040.0;JUMET;;;;5
ENGIE;;;P.A.E de Charleroi-Jumet;Allée Centrale 52;6040.0;JUMET;;;;53
FIDUCIAIRE PARDOEN;418605874;;P.A.E. de Charleroi-Jumet;Allée Centrale 33;6040.0;JUMET;071/25 93 25;071/ 25 93 19;Comptabilité;21
FIXINOX;453190829;;P.A.E. de Charleroi-Jumet;Première rue 8;6040.0;JUMET;071/81 05 26;071/81 05 29;Systèmes de fixation;9
FRANZ TRICOT;425253047;;P.A.E. de Charleroi-Jumet;Deuxième rue 15;6040.0;JUMET;071/35 88 00;071/35 90 67;Importateur en vin;31
ICOTEM;437523151;;P.A.E. de Charleroi-Jumet;Deuxième rue  20;6040.0;JUMET;071/35 53 69;071/37 26 95;Engineering et consultance;52
INBEV BELGIUM;433666709;;P.A.E. de Charleroi-Jumet;Allée Centrale 45;6040.0;JUMET;071/25 90 26;071/25 90 33;Entreposage et distribution de boissons;38
PRINTOMAT;;;P.A.E. de Charleroi-Jumet;Allée Centrale 5;6040.0;JUMET;071/48 72 74;;Imprimerie;11
SBC GROUP;448275503;;P.A.E. de Charleroi-Jumet;Deuxième rue 13;6040.0;JUMET;071/37 51 50;071/37 56 40;Achat et exportation de produits divers;32
SENSORS AND SYNERGY;427858981;;P.A.E. de Charleroi-Jumet;Allée Centrale 1;6040.0;JUMET;071/25 82 00;071/37 09 11;Fabrication de capteurs de force, de pesage et couplemètres;24
SETTAS;428252723;;P.A.E. de Charleroi-Jumet;Allée Centrale 36;6040.0;JUMET;071/34 44 88;071/34 56 11;Fonderie du titane et ses alliages;21
TASIAUX;401565845;;P.A.E. de Charleroi-Jumet;Première rue 11;6040.0;JUMET;071/25 49 25;071/25 49 24;Grossiste en matériel électrique - Travaux en électricité industrielle;10
VILLE DE CHARLEROI - SERVICE REGIONAL D'INCENDIE;;;P.A.E. de Charleroi-Jumet;Première rue;6040.0;JUMET;071/86 82 50;071/86 82 67;Sapeurs-pompiers;1
BALLY CENTRALE DES JEUX;417143451;S.A.;P.A.E. de Fleurus-Heppignies;Avenue de Heppignies 25;6220.0;HEPPIGNIES;071/37 11 11;071/37 13 04;Exploitation des jeux automatiques;10
COCA COLA ENTERPRISES BELGIUM;425071420;S.P.R.L.;P.A.E. de Fleurus-Heppignies;Rue Brigade Piron 57;6220.0;HEPPIGNIES;071/81 47 70;;Logistique;38
EURO TRAFIC;425184949;S.A.;P.A.E. de Fleurus-Heppignies;Avenue d'Heppignies, 8;6220.0;HEPPIGNIES;071/34 02 02;071/34 04 33;Logistique;34-13-40
EUROPEAN DIRECT DISTRIBUTION;;S.A.;P.A.E. de Fleurus-Heppignies;Avenue Alexander Fleming 9;6220.0;FLEURUS;071/35 65 65;;Import, export (articles automobile);22
FOOD PARTNERS & Co;474278728;S.A.;P.A.E. de Fleurus-Heppignies;Rue du Muturnia 299;6220.0;HEPPIGNIES;071/81 88 88;071/81 88 89;Industrie agro-alimentaire;30
GENERAL EQUIPMENT AND SERVICES;414987675;S.P.R.L.;P.A.E. de Fleurus-Heppignies;Rue du Tilloi 4;6220.0;FLEURUS;071/31 20 20;071/33 05 77;Vente de matériel;35
I.D. GROUP - INDUSCABEL;439169478;S.A.;P.A.E. de Fleurus-Heppignies;Chaussée de Bruxelles 376C;6040.0;JUMET;071/34 34 44;071/34 57 91;Grossiste sanitaire chauffage;36
PRODUCTION INDUSTRIELLE DE COMPOSANT (P.I.C.);438013903;S.A.;P.A.E. de Fleurus-Heppignies;Avenue de Heppignies 21;6220.0;FLEURUS;071/91 99 99;071/35 03 32;Production industrielle de composants pour stores;3
WORLD TRADE;454501022;S.A.;P.A.E. de Fleurus-Heppignies;Avenue de Heppignies 1;6220.0;HEPPIGNIES;071/25 35 10;071/25 35 19;Négociant en viande - Import/Export;6
DALCQ;422446381;S.A.;P.A.E. de Courcelles;Rue du Hainaut 86;6180.0;COURCELLES;071/12 14 81;;Production et distribution d'appareils électro-ménagers;14
ETABLISSEMENTS WEIBEL;663109618;P.P.;P.A.E. de Courcelles;Avenue de Wallonie 84;6180.0;COURCELLES;071/45 75 19;071/45 45 26;Garage;50
IMPRIMERIE POTY;472364165;S.P.R.L.;P.A.E. de Courcelles;Rue de Liège 2;6180.0;COURCELLES;071/84 57 24;071/84 25 16;Imprimerie;40
INTERWAFFLES;439312406;S.A.;P.A.E. de Courcelles;Rue de Liège 39;6180.0;COURCELLES;071/46 96 00;071/46 09 45;Pâtisseries industrielles;18
SOUDOMECA INDUSTRIES;860503628;S.A.;P.A.E. de Courcelles;Rue de Charleroi 15;6180.0;COURCELLES;071/46 23 09;071/77 54 01;Construction & montage métalliques - Chaudronnerie - Tuyauterie;43
COULEUR CHOCOLAT;716498913;P.P.;Technoparc de Thudinie;Rue ‘t Serstevens, 61;6530.0;THUIN;071/59 53 04;;Chocolaterie et glacerie artisanale;
GEOFFROY REFRIGERATION;830678306;S.P.R.L.;Technoparc de Thudinie;Rue de Castillon 24;5650.0;CLERMONT;071/63 32 61;;Réfrigération;
QUALITY ASSISTANCE;423357983;S.A.;Technoparc de Thudinie;Technoparc de Thudinie 2;6536.0;DONSTIENNES;071/53 47 82;071/53 42 16;Société de services pour l'industrie (bio)pharmaceutique;
C.T.S.I.;423837045;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Progrès 10;6220.0;FLEURUS;02/367 12 91;;Transport et logistique;55
DELTRIAN INTERNATIONAL;440089790;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Berlaimont 21A;6220.0;FLEURUS;071/36 40 30;071/43 84 48;Filtration de l'air;21
FLEX MOBILIERS (LEPAGE);401659776;S.P.R.L.;P.A.E. de Fleurus-Martinrou;Rue du Berlaimont 4;6220.0;FLEURUS;071/82 44 00;071/82 44 01;Vente de mobilier pour Horeca, écoles et collectivités;10
IMPAPRINT;454956625;S.P.R.L.;P.A.E. de Fleurus-Martinrou;Rue du Rabiseau 15;6220.0;FLEURUS;071/66 24 64;0479/96 14 08;Impression - Mailing - Software - Création;27
KUMPEN;419914978;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Rabiseau 3;6220.0;FLEURUS;071/ 31 73 75;071 31 68 77;Siège administratif et logistique des activités de la SA KUMPEN en Wallonie;20
LA MAISON DU CHENE - XAVIE'Z;465607522;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Berlaimont 14;6220.0;FLEURUS;071/85 07 90;071/85 07 91;Ebénisterie;33
NETOLITE;471496016;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Rabiseau 10;6220.0;FLEURUS;071/87 60 01;071/87 60 02;Fabrication d'appareils d'éclairage et de décorations lumineuses;69
PONCELET;826970530;S.A.;P.A.E. de Fleurus-Martinrou;Rue du Progrès 6;6220.0;FLEURUS;;071/81 98 12;Fabrication bâteau en bois;78
RELAITRON;;S.A.;P.A.E. de Fleurus-Martinrou;Rue des Fabriques 8;6220.0;FLEURUS;;;;39
D.H.K.;424028867;S.A.;P.A.E. de Montignies-sur-Sambre;Rue Champeau 4;6061.0;MONTIGNIES-SUR-SAMBRE;;;Distribution de produits semi-finis en aluminium et plastiques;2
DI FILIPPO;895633662;S.A.;P.A.E. de Montignies-sur-Sambre;Chaussée de Chatelineau 272;6061.0;MONTIGNIES-SUR-SAMBRE;071/51 53 00;;Bureau d'études;
PYROTECH;447452882;S.P.R.L.;P.A.E. de Montignies-sur-Sambre;Chaussée de Châtelineau 254;6061.0;MONTIGNIES-SUR-SAMBRE;071/32 68 05;071/30 72 73;Vente de matériel sanitaire et chauffage;5
SOFIPAL INVEST;542640071;S.P.R.L.;P.A.E. de Montignies-sur-Sambre;Rue Champeau 24;6061.0;MONTIGNIES-SUR-SAMBRE;071/53 28 62;;Société à portefeuilles;25
VITRERIE VINCENT GLASS;883282790;S.P.R.L.;P.A.E. de Montignies-sur-Sambre;Rue du Marais 34;6061.0;MONTIGNIES-SUR-SAMBRE;071/32 97 88;071/32 12 88;Vitrerie;7
ETABLISSEMENTS PESTIAUX;807747407;S.P.R.L.;PAE de Baileux;Route de Charlemagne 9;6464.0;BAILEUX;060/41 21 10;060/41 11 02;Matériel pour jardins et forêts;
LESEINE CONSTRUCT;876908704;S.P.R.L.;PAE de Baileux;Zoning Industriel 4;6464.0;BAILEUX;060/37 73 77;060/37 79 49;Pellets - conditionnement - vente - poêles et chaudières à pellets;
MULTIBOIS POUCET;442542704;S.A.;PAE de Baileux;Rue Saint Georges, 30;5660.0;GONRIEUX;060/21 26 61;060/21 37 50;Commerce de gros de bois;
SPW - District routier de Chimay;;;PAE de Baileux;Route Charlemagne 4;6464.0;BAILEUX;060/41 40 50;060/41 40 69;Régie des routes - Bureaux et ateliers;
STA - TECHNIQUE;451419984;S.A.;PAE de Baileux;Route Charlemagne 7;6464.0;BAILEUX;060/21 04 30;060/21 32 40;Electricité, climatisation, chauffage, sanitaire, alarme, garage poids lourds;
BETONS ET CONCASSES DE LA HAUTE SAMBRE;474961191;S.A.;PAE de Solre-sur-Sambre;Avenue de l'Espace européen d'entreprises 26;6560.0;SOLRE-SUR-SAMBRE;071/59 68 75;071/59 68 76;Centrale à béton;
ENTREPRISES DE RO HUBERT;880780091;S.P.R.L.;PAE de Solre-sur-Sambre;Espace européen 16;6560.0;SOLRE-SUR-SAMBRE;;;Terrassement, démolition et égouttage;
NCIS Fitness Nutrition;;;PAE de Solre-sur-Sambre;Espace européen 17;6560.0;SOLRE-SUR-SAMBRE;071/55 88 70;;Salle de fitness;
SOCIETE COOPERATIVE AGRICOLE DE LA MEUSE (SCAM);401370063;S.C.R.L.;PAE de Solre-sur-Sambre;Zoning Industriel, 2;6560.0;SOLRE-SUR-SAMBRE;071/55 66 98;;Distribution de produits agricoles;
Administration Communale - Dépôt Communal;;;P.A.E. de Frasnes-lez-Gosselies;Rue des Artisans;6210.0;FRASNES-LEZ-GOSSELIES;071/85 04 19;071/85 04 19;Dépôt Communal;1
KLIMMEK Christophe;762332304;P.P.;P.A.E. de Frasnes-lez-Gosselies;Rue de Sart-Dames Avelines 6;6210.0;FRASNES-LEZ-GOSSELIES;071/85 34 87;071/85 48 42;Vente véhicules occasions Toyota + pièces détachées Toyota;2
LB BOIS;446578003;S.C.R.L.;P.A.E. de Frasnes-lez-Gosselies;Rue des Artisans, 11;6210.0;FRASNES-LEZ-GOSSELIES;;;Menuisiers & Charpentiers;3
C.E.P.;860364264;S.P.R.L.;P.A.E. de Charleroi-Gosselies 2;Route Nationale 175;6041.0;CHARLEROI;071/37 07 97;071/37 07 88;Secteur garage;
AGENCE DE L'EQUIPEMENT DIRECT (AED);474705293;S.A.;P.A.E. de Fleurus-Heppignies;Avenue de Heppignies 7;6220.0;HEPPIGNIES;071/37 36 33;071/37 36 99;Meubles de bureau - rayonnage - stockage;21
CAISSERIES BELLE-VUE;417139293;S.A.;P.A.E. de Fleurus-Heppignies;Avenue de Heppignies 14;6220.0;HEPPIGNIES;071/35 89 00;071/34 42 85;Fabrication d'emballage bois-carton;2
DELLOUE;417159782;S.A.;P.A.E. de Fleurus-Heppignies;Rue du Tilloi 4;6220.0;HEPPIGNIES;071/31 20 20;071/33 05 77;Vente, location, réparation de matériel pour entrepreneurs et pour l'industrie;35
ESSSE CAFFEE-MACIOTTO;472416823;S.A.;P.A.E. de Fleurus-Heppignies;Avenue de Heppignies 29;6220.0;FLEURUS;0800/93026;;Fournisseur de matériel pour l'horeca;18
IMMO EXCLUSIVE;846789907;S.A.;P.A.E. de Fleurus-Heppignies;Avenue Alexander Fleming 9;6220.0;FLEURUS;071/35 65 65;;Gestion immobilière;22
INITIAL TEXTILES;403828420;S.A.;P.A.E. de Fleurus-Heppignies;Avenue de Heppignies 1;6220.0;FLEURUS;071/34 73 70;071/34 47 01;Blanchisserie industrielle;12
RACING TRADING ENGINEERING and CONSULT (RTEC);444910987;S.P.R.L.;P.A.E. de Fleurus-Heppignies;Rue du Capilone 1;6220.0;HEPPIGNIES;071/37 77 07;071/37 77 08;Bureau d'études - Centre technique - Amortisseur - Boîte de vitesse - Transmission - Moteur;27
SUPER OCCAS;862428186;S.P.R.L.;P.A.E. de Fleurus-Heppignies;Avenue Alexander Fleming 11;6220.0;FLEURUS;;;Concession automobile;1
SYNLAB Belgium;453111546;S.C.R.L.;P.A.E. de Fleurus-Heppignies;Avenue Alexandre Fleming 3;6220.0;HEPPIGNIES;067/89 54 32;;Laboratoire médical;5
BELGIQUE DIFFUSION;846373993;;P.A.E. de Charleroi-Jumet;Allée Centrale 53;6040.0;JUMET;071/35 47 26;071/34 58 46;Publicités toutes boîtes;22
CORA;402537726;;P.A.E. de Charleroi-Jumet;Quatrième rue 1;6040.0;JUMET;071/25 88 83;071/25 88 20;Siège de distribution et de coordination;14
DELTA PLASTICS;521878212;;P.A.E. de Charleroi-Jumet;Première Rue 1;6040.0;JUMET;071/25 79 84;071/25 79 89;Moulage de pièces par injection;6
DELTENRE & Co;442896555;;P.A.E. de Charleroi-Jumet;Allée Centrale 60;6040.0;JUMET;071/37 37 48;071/37 43 31;Aménagement et habillage de surfaces commerciales;48
